1,253
2,250
3,250
4,250
5,255
6,255
7,251
8,252
9,246
10,249
11,247
12,251
13,251
14,249
15,249
16,250
17,253
18,251
19,252
20,252
21,251
22,253
23,253
24,251
25,252
26,254
27,245
28,251
29,252
30,250
31,253
32,253
33,248
34,254
35,253
36,252
37,255
38,250
39,250
40,250
41,254
42,253
43,252
44,252
45,252
46,253
47,250
48,251
49,251
50,249
51,252
52,252
53,252
54,251
55,252
56,249
57,255
58,251
59,252
60,244
61,250
62,250
63,251
64,251
65,249
66,255
67,251
68,248
69,253
70,249
71,250
72,250
73,253
74,251
75,250
76,249
77,250
78,251
79,254
80,252
81,248
82,253
83,251
84,250
85,249
86,252
87,253
88,249
89,252
90,250
91,247
92,251
93,254
94,251
95,253
96,251
97,248
98,248
99,251
100,249
101,253
102,249
103,252
104,254
105,253
106,250
107,253
108,251
109,253
110,248
111,252
112,249
113,248
114,250
115,246
116,249
117,253
118,253
119,252
120,251
121,254
122,251
123,253
124,250
125,251
126,248
127,251
128,254
129,253
130,255
131,252
132,250
133,251
134,249
135,254
136,251
137,246
138,245
139,246
140,248
141,253
142,250
143,246
144,247
145,248
146,248
147,251
148,254
149,249
150,250
151,253
152,252
153,253
154,251
155,253
156,254
157,251
158,251
159,252
160,249
161,250
162,255
163,252
164,251
165,250
166,252
167,251
168,253
169,254
170,252
171,251
172,251
173,250
174,250
175,252
176,250
177,250
178,252
179,253
180,253
181,253
182,253
183,250
184,249
185,254
186,247
187,254
188,250
189,251
190,250
191,251
192,252
193,247
194,253
195,251
196,249
197,253
198,253
199,249
200,248
201,252
202,250
203,244
204,250
205,248
206,253
207,252
208,252
209,249
210,254
211,254
212,254
213,247
214,252
215,253
216,251
217,251
218,251
219,247
220,254
221,251
222,250
223,252
224,254
225,253
226,252
227,252
228,250
229,252
230,252
231,249
232,252
233,249
234,251
235,252
236,250
237,248
238,253
239,253
240,249
241,253
242,248
243,250
244,252
245,250
246,249
247,249
248,247
249,249
250,248
251,250
252,253
253,249
254,247
255,253
256,247
257,253
258,254
259,253
260,249
261,255
262,251
263,254
264,249
265,252
266,250
267,251
268,250
269,253
270,250
271,249
272,253
273,245
274,251
275,248
276,251
277,252
278,248
279,250
280,251
281,248
282,250
283,249
284,253
285,253
286,251
287,251
288,248
289,250
290,252
291,249
292,250
293,256
294,249
295,249
296,252
297,251
298,253
299,253
300,252
301,254
302,251
303,251
304,248
305,253
306,250
307,246
308,252
309,249
310,246
311,251
312,252
313,251
