0.0,1.0,0000000000000000
1.0,8.0,0000000000000001
2.0,8.0,0000000000000010
3.0,8.0,0000000000000011
4.0,8.0,0000000000000100
5.0,8.0,0000000000000101
6.0,8.0,0000000000000110
7.0,8.0,0000000000000111
8.0,8.0,0000000000001000
9.0,8.0,0000000000001001
10.0,8.0,0000000000001010
11.0,8.0,0000000000001011
12.0,8.0,0000000000001100
13.0,8.0,0000000000001101
14.0,8.0,0000000000001110
15.0,8.0,0000000000001111
16.0,8.0,0000000000010000
17.0,4.0,0000000000010001
18.0,8.0,0000000000010010
19.0,8.0,0000000000010011
20.0,8.0,0000000000010100
21.0,8.0,0000000000010101
22.0,8.0,0000000000010110
23.0,8.0,0000000000010111
24.0,8.0,0000000000011000
25.0,8.0,0000000000011001
26.0,8.0,0000000000011010
27.0,8.0,0000000000011011
28.0,8.0,0000000000011100
29.0,8.0,0000000000011101
30.0,8.0,0000000000011110
31.0,8.0,0000000000011111
32.0,8.0,0000000000100000
33.0,8.0,0000000000100001
34.0,4.0,0000000000100010
35.0,8.0,0000000000100011
36.0,8.0,0000000000100100
37.0,8.0,0000000000100101
38.0,8.0,0000000000100110
39.0,8.0,0000000000100111
40.0,8.0,0000000000101000
41.0,8.0,0000000000101001
42.0,8.0,0000000000101010
43.0,8.0,0000000000101011
44.0,8.0,0000000000101100
45.0,8.0,0000000000101101
46.0,8.0,0000000000101110
47.0,8.0,0000000000101111
48.0,8.0,0000000000110000
49.0,8.0,0000000000110001
50.0,8.0,0000000000110010
51.0,4.0,0000000000110011
52.0,8.0,0000000000110100
53.0,8.0,0000000000110101
54.0,8.0,0000000000110110
55.0,8.0,0000000000110111
56.0,8.0,0000000000111000
57.0,8.0,0000000000111001
58.0,8.0,0000000000111010
59.0,8.0,0000000000111011
60.0,8.0,0000000000111100
61.0,8.0,0000000000111101
62.0,8.0,0000000000111110
63.0,8.0,0000000000111111
64.0,8.0,0000000001000000
65.0,8.0,0000000001000001
66.0,8.0,0000000001000010
67.0,8.0,0000000001000011
68.0,4.0,0000000001000100
69.0,8.0,0000000001000101
70.0,8.0,0000000001000110
71.0,8.0,0000000001000111
72.0,8.0,0000000001001000
73.0,8.0,0000000001001001
74.0,8.0,0000000001001010
75.0,8.0,0000000001001011
76.0,8.0,0000000001001100
77.0,8.0,0000000001001101
78.0,8.0,0000000001001110
79.0,8.0,0000000001001111
80.0,8.0,0000000001010000
81.0,8.0,0000000001010001
82.0,8.0,0000000001010010
83.0,8.0,0000000001010011
84.0,8.0,0000000001010100
85.0,2.0,0000000001010101
86.0,8.0,0000000001010110
87.0,8.0,0000000001010111
88.0,8.0,0000000001011000
89.0,8.0,0000000001011001
90.0,8.0,0000000001011010
91.0,8.0,0000000001011011
92.0,8.0,0000000001011100
93.0,8.0,0000000001011101
94.0,8.0,0000000001011110
95.0,8.0,0000000001011111
96.0,8.0,0000000001100000
97.0,8.0,0000000001100001
98.0,8.0,0000000001100010
99.0,8.0,0000000001100011
100.0,8.0,0000000001100100
101.0,8.0,0000000001100101
102.0,4.0,0000000001100110
103.0,8.0,0000000001100111
104.0,8.0,0000000001101000
105.0,8.0,0000000001101001
106.0,8.0,0000000001101010
107.0,8.0,0000000001101011
108.0,8.0,0000000001101100
109.0,8.0,0000000001101101
110.0,8.0,0000000001101110
111.0,8.0,0000000001101111
112.0,8.0,0000000001110000
113.0,8.0,0000000001110001
114.0,8.0,0000000001110010
115.0,8.0,0000000001110011
116.0,8.0,0000000001110100
117.0,8.0,0000000001110101
118.0,8.0,0000000001110110
119.0,4.0,0000000001110111
120.0,8.0,0000000001111000
121.0,8.0,0000000001111001
122.0,8.0,0000000001111010
123.0,8.0,0000000001111011
124.0,8.0,0000000001111100
125.0,8.0,0000000001111101
126.0,8.0,0000000001111110
127.0,8.0,0000000001111111
128.0,8.0,0000000010000000
129.0,8.0,0000000010000001
130.0,8.0,0000000010000010
131.0,8.0,0000000010000011
132.0,8.0,0000000010000100
133.0,8.0,0000000010000101
134.0,8.0,0000000010000110
135.0,8.0,0000000010000111
136.0,4.0,0000000010001000
137.0,8.0,0000000010001001
138.0,8.0,0000000010001010
139.0,8.0,0000000010001011
140.0,8.0,0000000010001100
141.0,8.0,0000000010001101
142.0,8.0,0000000010001110
143.0,8.0,0000000010001111
144.0,8.0,0000000010010000
145.0,8.0,0000000010010001
146.0,8.0,0000000010010010
147.0,8.0,0000000010010011
148.0,8.0,0000000010010100
149.0,8.0,0000000010010101
150.0,8.0,0000000010010110
151.0,8.0,0000000010010111
152.0,8.0,0000000010011000
153.0,4.0,0000000010011001
154.0,8.0,0000000010011010
155.0,8.0,0000000010011011
156.0,8.0,0000000010011100
157.0,8.0,0000000010011101
158.0,8.0,0000000010011110
159.0,8.0,0000000010011111
160.0,8.0,0000000010100000
161.0,8.0,0000000010100001
162.0,8.0,0000000010100010
163.0,8.0,0000000010100011
164.0,8.0,0000000010100100
165.0,8.0,0000000010100101
166.0,8.0,0000000010100110
167.0,8.0,0000000010100111
168.0,8.0,0000000010101000
169.0,8.0,0000000010101001
170.0,2.0,0000000010101010
171.0,8.0,0000000010101011
172.0,8.0,0000000010101100
173.0,8.0,0000000010101101
174.0,8.0,0000000010101110
175.0,8.0,0000000010101111
176.0,8.0,0000000010110000
177.0,8.0,0000000010110001
178.0,8.0,0000000010110010
179.0,8.0,0000000010110011
180.0,8.0,0000000010110100
181.0,8.0,0000000010110101
182.0,8.0,0000000010110110
183.0,8.0,0000000010110111
184.0,8.0,0000000010111000
185.0,8.0,0000000010111001
